sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,source_dataset,source_file,source_row_id
,"Mai đang ở đâu đấy, mua hộ tớ cái thẻ điện thoại Viettel 100k với, lát tớ bắn lại cho.",1,0,0,personal_number,Lừa đảo nhờ vả,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,0
,"Mày ơi, cháu tao đang thi bé khỏe bé ngoan, mày vào link này drive-google.com/file123 vote cho nó một phiếu nhé, số báo danh 123.",1,1,0,personal_number,Lừa đảo link độc hại,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,1
,"Chị Hùng ơi, mẹ em đang cấp cứu trong viện mà em chưa xoay kịp tiền, chị cho em vay tạm vài trăm nhé, tuần sau có lương em trả. STK em 68686868 TPBank.",1,0,0,personal_number,Lừa đảo mượn tiền,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,2
,"Dạ cô Quân ơi, cháu giao hoa để ở bảo vệ rồi nhé. Ôi cháu ấn nhầm số, cháu xin lỗi cô ạ. Nhân tiện bên cháu đang có chương trình tặng quà, cô add zalo 0888999000 để nhận nhé.",1,0,1,personal_number,Lừa đảo nhầm số,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,3
,"Em gửi file báo cáo tháng này anh check nhé. Dạ em nhầm số sếp, phiền anh/chị quá. Số đuôi anh chị đẹp ghê, mình làm quen nhé, zalo em 0888999000.",1,0,1,personal_number,Lừa đảo nhầm số,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,4
,"Ê Nam, đợt trước mày hỏi vụ đầu tư chứng khoán, tao đang theo nhóm này phím lệnh ok lắm, vào nhóm xem thử tinyurl.com/nhan-thuong",1,1,0,personal_number,Lừa đảo đầu tư,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,5
,"Chị Khang ơi, mẹ em đang cấp cứu trong viện mà em chưa xoay kịp tiền, chị cho em vay tạm 3 triệu nhé, tuần sau có lương em trả. STK em 123456789 Sacombank.",1,0,0,personal_number,Lừa đảo mượn tiền,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,6
,"Mày ơi, cháu tao đang thi bé khỏe bé ngoan, mày vào link này zalo-group.club/join vote cho nó một phiếu nhé, số báo danh 123.",1,1,0,personal_number,Lừa đảo link độc hại,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,7
,"Em gửi file báo cáo tháng này anh check nhé. Dạ em nhầm số sếp, phiền anh/chị quá. Số đuôi anh chị đẹp ghê, mình làm quen nhé, zalo em 0868123123.",1,0,1,personal_number,Lừa đảo nhầm số,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,8
,"Mày ơi, cháu tao đang thi bé khỏe bé ngoan, mày vào link này tiktok-jobs.net vote cho nó một phiếu nhé, số báo danh 123.",1,1,0,personal_number,Lừa đảo link độc hại,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,9
,"Hoa ơi tao mới kiếm được trang này xem Tiktok cũng có tiền, ngày được 1 triệu dễ ợt. Mày thử không vô đây nè: bit.ly/nhanqua",1,1,0,personal_number,Lừa đảo việc làm,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,10
,"Linh ơi, tôi có món quà gửi tặng bạn từ nước ngoài, bạn liên hệ nhân viên hải quan số 0934567890 để làm thủ tục nhận nhé.",1,0,1,personal_number,Lừa đảo nhận quà,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,11
,"Alo anh Thành nay đi nhậu không? Á chết, nhầm số rồi, xin lỗi anh nha. Mà thấy anh có vẻ hợp cạ, rảnh thì kết bạn zalo số này 0912345678 giao lưu nhé.",1,0,1,personal_number,Lừa đảo nhầm số,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,12
,"Ê Minh, tài khoản tao bị khóa, mày chuyển giùm tao 500 ngàn vô số tài khoản này 68686868 TPBank nha, mai tao trả gấp đôi.",1,0,0,personal_number,Lừa đảo mượn tiền,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,13
,"Ê Minh, đợt trước mày hỏi vụ đầu tư chứng khoán, tao đang theo nhóm này phím lệnh ok lắm, vào nhóm xem thử shopee-sale-vn.com",1,1,0,personal_number,Lừa đảo đầu tư,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,14
,"Ê Thành, tài khoản tao bị khóa, mày chuyển giùm tao vài trăm vô số tài khoản này 68686868 VPBank nha, mai tao trả gấp đôi.",1,0,0,personal_number,Lừa đảo mượn tiền,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,15
,"Chị ơi áo chị đặt hôm qua em ship hỏa tốc rồi nha, mã vận đơn chị xem ở đây thiepcuoi-online.vn/namhoa.",1,1,0,personal_number,Lừa đảo link độc hại,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,16
,"Chào bạn, mình thấy số điện thoại của bạn qua hội nhóm, thấy ảnh đại diện dễ thương nên muốn làm quen, add zalo mình nhé 0912345678.",1,0,1,personal_number,Lừa đảo tình cảm,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,17
,"Tùng ơi Trang nè, đang kẹt quá cho mượn tạm 500k vào TPBank 19034567890 chiều mai trả nhé.",1,0,0,personal_number,Lừa đảo mượn tiền,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,18
,"Ê Nam, tài khoản tao bị khóa, mày chuyển giùm tao 500 ngàn vô số tài khoản này 1122334455 Techcombank nha, mai tao trả gấp đôi.",1,0,0,personal_number,Lừa đảo mượn tiền,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,19
,"Mai ơi Nam nè, đang kẹt quá cho mượn tạm 1 triệu vào Agribank 987654321 chiều mai trả nhé.",1,0,0,personal_number,Lừa đảo mượn tiền,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,20
,"Chị Tùng ơi, mẹ em đang cấp cứu trong viện mà em chưa xoay kịp tiền, chị cho em vay tạm 500 ngàn nhé, tuần sau có lương em trả. STK em 1122334455 MB Bank.",1,0,0,personal_number,Lừa đảo mượn tiền,LEVEL 0 – Không obfuscation (formal),synthetic,synthetic_hard_label_1,,21
